"Id","CPF","Nome","Municipio","Telefone","Rua","Numero","Complemento","CEP","Bairro","Estado"
"7","09678757905","Douglas e demais","testet332332","4799929929233232",,,,,,
"15","09678757901","Teste","teste","43434343",,,,,,
"14","09678757903","teste","teste","",,,,,,
"26","21312321314","tessdesds","testesss22",,"65",,,,,
"28","65656565657","Douglas","","43343434343","",,"",,"",""
"29","54545456565","Douglasd vamos ver","","4343545","",,"",,"",""
"30","43656767676","Douglas","","47991929922","","","","","",""
"20","09678757920","Dug","Blumenau","47991929492","Rua Biguaçú","69","Casa","89041580","Água Verde","Santa Catarina"
"21","09678757911","Dug","Blumenau","47991929492","Rua Biguaçú","56","casa","89041580","Água Verde","Santa Catarina"
"22","09678757955","Douglasw","Blumenau","434343","Rua Biguaçú",,"","89041580","Água Verde","Santa Catarina"
"23","65656565656","dsds","656565",,,,,,,
"24","54545454545","dsds","33232",,,,,,,
"25","32132131231","Douglass","teste",,,,,,,
"18","09678757904","teste","yews2",,,,,,,
